Timestamp,Battery (V),Speed km/hr,SOC %,Range (km),Temperature (C),Laptime
2024-07-02 16:40:46,31,36,94,53,85,0:00:00
2024-07-02 16:40:47,29,28,64,51,69,0:00:00
2024-07-02 16:40:48,76,111,21,83,78,0:00:01
2024-07-02 16:40:49,26,33,1,46,83,0:00:02
2024-07-02 16:40:57,36,20,79,48,35,0:00:00
2024-07-02 16:40:58,74,26,98,43,26,0:00:00
2024-07-02 16:40:59,86,54,33,31,76,0:00:01
2024-07-02 16:41:00,33,15,91,22,81,0:00:02
2024-07-02 16:41:01,77,10,70,52,31,0:00:03
2024-07-02 16:41:02,32,8,64,4,93,0:00:04
2024-07-02 16:41:40,37,12,15,65,31,0:00:00
2024-07-02 16:41:41,43,47,6,36,75,0:00:00
2024-07-02 16:41:42,6,2,15,42,7,0:00:01
2024-07-02 16:41:43,92,90,49,96,53,0:00:02
2024-07-02 16:41:44,12,48,32,91,75,0:00:03
2024-07-02 18:13:18,47,112,92,78,3,0:00:00
2024-07-02 18:13:19,90,108,43,57,62,0:00:00
2024-07-02 18:13:20,24,112,72,57,36,0:00:01
2024-07-02 18:13:21,55,120,9,4,65,0:00:02
2024-07-02 18:13:22,44,92,52,60,33,0:00:03
2024-07-02 18:14:59,51,103,15,9,79,0:00:00
2024-07-02 18:15:00,81,99,4,90,38,0:00:00
2024-07-02 18:15:01,61,119,35,92,70,0:00:01
2024-07-02 18:15:02,4,1,14,19,27,0:00:02
2024-07-02 18:15:03,31,77,73,87,62,0:00:03
2024-07-02 18:15:04,9,98,85,42,77,0:00:04
2024-07-02 19:03:09,30,1,6,73,70,0:00:00
2024-07-02 19:03:10,92,13,99,55,4,0:00:00
2024-07-02 19:03:11,37,77,19,90,15,0:00:01
2024-07-02 19:03:12,9,76,87,98,65,0:00:02
2024-07-02 19:03:13,50,49,10,3,78,0:00:03
2024-07-02 19:03:14,5,4,80,12,25,0:00:04
2024-07-02 19:03:15,12,86,87,94,85,0:00:05
2024-07-02 19:03:17,82,28,6,39,76,0:00:06
2024-07-02 19:03:18,63,111,45,21,25,0:00:07
2024-07-02 19:03:19,38,4,62,70,91,0:00:08
2024-07-02 19:04:45,9,90,73,91,49,0:00:00
2024-07-02 19:04:46,47,50,39,71,61,0:00:00
2024-07-02 19:04:47,64,24,48,57,75,0:00:01
2024-07-02 19:04:48,81,81,34,0,37,0:00:02
2024-07-02 19:04:49,7,82,65,32,43,0:00:03
2024-07-02 19:04:50,20,58,31,59,39,0:00:04
2024-07-02 19:04:51,55,54,97,98,69,0:00:05
2024-07-02 19:04:52,34,84,54,67,65,0:00:06
2024-07-02 19:04:54,55,71,18,46,42,0:00:07
2024-07-02 19:04:55,76,45,48,67,41,0:00:08
2024-07-02 19:04:56,51,108,68,27,54,0:00:09
2024-07-02 19:04:57,66,113,88,71,5,0:00:10
2024-07-02 19:04:58,89,39,10,56,100,0:00:00
2024-07-02 19:04:59,75,98,17,72,11,0:00:01
2024-07-02 19:05:00,9,87,23,39,55,0:00:02
2024-07-02 19:05:01,15,53,87,38,74,0:00:03
2024-07-02 19:05:02,61,64,53,35,18,0:00:04
2024-07-02 19:17:33,30,39,41,9,64,0:00:00
2024-07-02 19:17:34,57,109,47,73,87,0:00:00
2024-07-02 19:17:44,63,62,49,36,98,0:00:00
2024-07-02 19:17:45,1,74,73,76,27,0:00:00
2024-07-02 19:24:13,54,27,42,60,81,0:00:00
2024-07-02 19:24:14,90,18,58,14,55,0:00:00
